Votes2010,Turnout.2010,Code
50838,60.9,W07000049
44593,67.2,W07000058
64808,58.2,S14000001
64031,67.2,S14000002
66110,68.4,S14000058
62364,57.5,S14000003
71465,63.5,E14000530
58909,65.6,E14000531
72208,68.4,E14000532
60931,65.5,W07000043
70171,65.5,E14000533
62860,60.4,S14000004
60204,50.7,N06000005
73338,57.8,N06000012
63054,53.9,N06000014
41198,63.3,W07000057
67165,67.3,S14000005
76835,72.9,E14000534
77379,62.3,E14000535
81271,67.9,E14000536
67714,56.8,E14000537
77844,68.3,E14000538
73320,62.6,S14000006
68352,64.2,S14000010
74223,62.1,S14000048
84379,66.7,E14000539
64300,59.8,S14000007
73868,61.4,E14000540
65543,56.5,E14000541
68435,56.1,E14000542
68943,64,E14000543
65515,63.4,E14000544
71874,62.2,E14000933
75473,67.1,E14000545
76513,64.8,E14000546
66686,70.6,E14000547
76738,66.6,E14000548
74311,65.7,E14000549
74982,70,E14000550
66219,72,E14000551
68530,65.8,E14000552
76310,71.9,E14000813
78060,71.2,E14000841
76559,66.3,E14000949
59007,58.4,N06000001
65504,56.5,N06000002
59524,57.4,N06000003
59522,54,N06000004
77628,57.5,E14000553
56578,67.9,E14000554
73826,66.4,S14000008
81243,62.4,E14000555
79318,67.1,E14000556
81032,67.4,E14000557
65015,66.4,E14000558
62773,56.3,E14000559
68573,60.6,E14000560
66405,53.5,E14000561
76580,63.6,E14000562
75040,56.6,E14000563
73646,48.7,E14000564
71338,58.6,E14000565
71304,59,E14000566
74805,62.2,E14000567
72321,56.5,E14000568
68368,60.2,E14000569
72331,62.9,E14000570
69489,49.2,E14000571
66017,61.5,E14000572
63027,55.8,E14000573
52442,61.8,W07000072
67808,66.2,E14000574
62900,61.3,E14000575
70816,66.2,E14000576
72766,60.5,E14000577
66846,64.7,E14000578
69499,57,E14000579
71284,66.7,E14000580
71422,57.8,E14000581
67186,64.2,E14000582
77296,70.2,E14000583
71125,61.9,E14000584
71753,58.1,E14000585
76888,67.8,E14000586
65116,62.1,E14000587
63580,59.8,E14000588
62519,64.9,E14000589
71163,69.1,E14000590
53589,72.5,W07000068
74046,61.2,E14000591
83896,62.3,E14000592
83546,64.4,E14000593
69309,73,E14000594
58700,65.3,W07000073
82180,66.3,E14000595
67345,65.1,E14000596
66015,64.7,E14000597
74009,70,E14000598
69448,64.8,E14000599
73469,68.5,E14000600
78579,61.6,E14000601
82728,66.9,E14000602
72445,72.7,E14000603
65427,67.3,E14000604
73036,70.7,E14000605
71391,64,E14000606
72042,73.2,E14000607
74989,64.5,E14000608
66615,62.8,E14000609
74874,66.5,E14000610
66759,67.3,E14000611
73544,65.6,E14000612
84716,69.3,E14000613
62122,62.3,W07000076
47263,60.9,S14000009
76903,67.3,E14000614
78627,59.3,E14000615
63975,66.4,E14000616
74699,67.1,E14000617
73224,71.1,E14000842
88851,65.6,E14000855
78995,74.8,E14000934
83068,69.3,E14000937
74508,61.1,E14000618
74121,66.4,E14000619
61165,59.1,W07000050
65553,72.7,W07000051
73707,60.2,W07000080
62787,65.2,W07000079
65263,64.7,E14000620
52385,72.6,W07000067
58108,69.7,W07000066
66524,69,E14000621
67284,66.9,E14000622
59882,63.9,W07000064
74473,71.9,E14000625
67964,64.5,E14000626
71635,73.3,E14000627
77525,70.4,E14000628
66257,60.2,E14000629
78998,66.8,E14000630
70333,74.6,E14000631
70131,66.7,E14000640
71878,63.8,E14000632
81576,69.6,E14000633
64831,66.5,E14000634
72106,72.6,E14000635
75120,67.4,E14000636
70976,70.1,E14000637
68859,71.8,E14000638
66849,55.2,E14000639
67194,64.2,E14000642
70214,64,E14000643
53748,64.5,W07000062
57913,65.8,W07000059
70067,59.4,S14000011
74064,62.3,E14000644
80060,69.1,E14000645
72280,70.3,E14000646
63149,67.8,E14000647
78024,69.5,E14000648
67940,68.9,E14000837
71373,69.5,E14000938
76729,71.5,E14000991
73035,59.4,E14000649
72871,63.9,E14000650
73652,62.4,E14000651
72781,65.3,E14000652
79728,64.1,E14000653
76349,65.1,E14000654
85216,60.6,E14000655
81303,69.3,E14000656
64037,64.3,S14000012
50650,59,W07000070
69764,63.4,E14000657
68168,62.9,E14000658
76271,65.7,E14000659
71452,72.5,E14000660
53470,69.2,W07000042
66330,56.7,E14000661
71474,63.1,E14000662
70999,58,E14000663
63376,73.8,E14000664
66074,71.6,E14000814
71398,65.9,E14000843
70608,71.4,E14000935
67379,68.8,E14000665
71203,75.7,E14000623
73109,72.6,E14000678
74508,68.9,E14000838
70813,70.4,E14000950
77360,71.4,E14001000
78910,68.4,E14000666
72597,59.8,E14000667
72985,57.2,E14000668
71681,57.9,E14000669
64660,72.4,E14000815
73741,73.4,E14000839
73360,68.6,E14000936
76869,74.6,E14001031
71833,70.1,E14000670
60698,55.2,N06000013
70784,60.2,N06000015
60838,63.5,E14000671
60572,63,E14000672
72817,66.2,E14000673
74584,70,S14000013
66627,68.9,S14000014
63795,75.2,S14000018
66086,64,S14000059
65471,62,S14000015
63013,58.9,S14000016
73590,66.5,S14000017
68832,67.2,E14000641
67544,60.7,E14000840
70350,62.3,E14000856
45354,63.7,W07000061
70251,67.2,E14000674
73104,65.2,E14000675
66970,63.8,E14000676
63879,54.7,E14000677
90674,55.6,E14000679
76534,66.6,S14000019
73348,67,S14000020
77840,67,E14000684
77436,69.3,E14000685
72100,63,E14000686
60945,65.4,S14000022
69207,68.4,S14000023
59362,73.8,S14000024
66361,68.5,S14000025
65159,71.3,S14000026
63904,63.2,E14000687
66509,66.5,E14000688
77724,71.8,E14000689
62590,67,E14000690
66261,67.1,E14000691
64139,69.1,E14000692
72186,64.5,E14000693
79908,68.8,E14000694
69655,68.4,E14000695
69900,60.8,E14000696
75338,72.4,E14000697
77158,67.7,E14000698
81869,62,S14000028
75915,71.6,E14000699
68858,67.8,E14000700
81058,59.9,E14000701
67908,68.9,N06000007
62771,63.8,S14000049
69003,70,E14000702
70722,66.7,E14000703
78005,67.7,E14000704
68419,71.3,E14000705
65843,57.5,N06000008
65926,66.3,E14000706
72939,67.5,E14000707
71312,60.1,E14000708
66492,57.5,E14000709
70866,68,E14000710
70814,66.1,E14000711
60105,50.9,S14000029
61865,52,S14000030
51490,57.5,S14000031
59861,49.1,S14000032
60997,58.3,S14000033
65069,61.6,S14000034
58191,54.6,S14000035
67765,59.8,S14000036
79321,64,E14000712
73420,66.4,S14000037
72816,64.5,E14000713
61696,67.5,W07000046
78008,67.7,E14000714
70195,67.4,E14000715
61229,53.8,E14000716
70315,61.2,E14000717
65489,62.9,E14000718
77082,72.1,E14000719
73906,62.9,E14000720
72841,58.8,E14000721
63693,69,E14000722
70380,61.9,E14000723
70254,69.4,E14000724
68846,60,E14000725
72348,65.6,E14000726
72262,71,E14000680
72196,73.3,E14000844
76695,69.5,E14000857
80373,65.7,E14000727
77917,70.5,E14000728
67583,64.9,E14000729
74760,71.1,E14000730
70510,68.1,E14000731
68554,67.3,E14000732
68927,55.5,E14000733
70743,69.3,E14000734
77030,64.7,E14000735
69662,63,E14000736
70231,60.7,E14000737
62300,67.4,E14000738
72752,68,E14000739
75542,58,E14000740
72943,63.6,E14000741
73123,73.2,E14000742
72021,67.2,E14000743
66946,71.1,E14000847
78459,70.6,E14000744
72200,69.8,E14000845
78248,72.5,E14000951
73057,64.7,E14000745
60360,72,E14000746
80171,57.5,E14000747
71458,70.4,E14000748
73851,74.1,E14000749
86563,63.1,E14000750
78547,68,E14000751
78748,69.9,E14000752
77564,72,E14000753
68729,55.3,E14000754
71720,69.5,E14000755
66318,61.1,E14000756
67530,50.6,E14000771
64082,52,E14000772
57264,55,E14000773
83557,64.9,E14000757
67221,63.5,E14000758
72372,65,E14000759
86220,59.4,E14000760
59209,63.4,S14000038
72528,64.9,S14000039
75770,62,E14000761
109922,63.9,E14000762
68119,65.4,E14000763
67650,64.4,E14000764
54866,63.2,W07000077
64350,60.3,E14000765
65893,72.4,E14000766
64362,75.2,E14000767
65975,53.3,E14000768
68824,68.8,E14000769
74131,62.8,S14000040
81115,70.4,E14000770
66361,72.2,E14000774
73534,62.3,S14000041
79564,56.1,E14000775
65257,56,N06000009
74773,62.3,S14000042
73835,65.7,E14001033
67379,63.4,E14000776
81266,46,E14000777
64698,58.4,E14000778
67899,70,E14000779
65399,66.5,E14000780
67453,57.5,E14000781
72986,65.8,E14000782
77175,61.1,E14000783
64900,55.2,E14000784
71217,72.9,E14000858
76633,71.2,E14000940
75903,58.4,E14000785
68708,72.9,E14000786
67058,61.5,E14000787
65926,63.3,E14000788
69022,65.2,E14000789
63541,63.2,E14000790
72586,71,E14000791
73540,62.2,E14000792
80907,63.6,S14000043
74539,52.1,E14000793
62612,54.8,E14000794
62518,60.6,E14000795
63082,56.7,E14000796
75924,63.1,S14000044
55637,67.3,W07000045
63220,55.3,N06000006
77505,68.2,E14000797
77650,65,E14000798
66632,73.1,E14000799
65645,65.5,E14000800
65219,64.7,E14000801
75370,66.4,E14000802
72844,73.7,E14000803
71041,68.9,E14000804
73813,59.3,E14000805
68777,69.6,E14000806
90110,44.3,E14000807
75933,50.5,E14000808
74371,60.5,E14000809
80069,60.4,E14000810
70488,72.7,E14000811
82228,63.4,E14000812
54715,58.6,W07000071
65148,51.4,E14000819
72666,63.6,E14000820
61387,63.9,S14000045
82432,65.4,E14000821
86559,63.9,E14000822
65939,66.4,E14000823
72297,75.1,E14000824
64538,72.1,W07000054
48730,69.4,W07000063
65925,62.2,S14000046
69576,62.4,E14000825
74891,65.2,E14000826
66918,58.5,S14000047
21780,67.6,S14000027
57295,64.8,W07000069
72858,68.7,E14000827
68332,69.6,E14000828
71755,71.4,E14000829
79144,74,E14000830
69433,62.2,E14000834
60507,56.5,E14000831
64487,58.7,E14000832
67110,65.5,E14000833
54437,63.3,W07000055
62111,64,W07000056
74308,60.4,N06000011
69319,69.7,E14000835
74260,68.4,E14000816
67851,73.2,E14000848
73105,65.4,E14000859
76179,72.2,E14000941
73758,66.6,E14000952
82336,56.2,E14000836
61850,65.1,E14000861
63105,61.8,E14000862
82033,73,E14000942
64814,65.7,E14000863
73649,64.6,E14000864
58705,56.4,E14000865
63240,54.2,E14000866
67441,60.5,E14000867
67837,65.8,E14000868
75115,67.2,S14000050
55527,62.4,W07000074
65699,69.2,E14000869
72557,61.4,E14000870
72359,59.3,E14000871
33085,58.5,S14000051
67732,72.2,E14000872
81903,63.1,E14000873
86458,65.3,E14000874
63704,68.6,S14000052
61197,65.4,S14000053
66422,67.8,E14000875
68480,67.9,E14000876
64484,69.9,E14000877
72141,66.9,S14000054
70278,63.9,E14000878
68062,61,E14000879
72938,60.2,E14000880
58205,63,W07000075
72641,65.3,E14000881
74955,62.3,E14000882
70329,62.7,E14000883
70242,58.7,E14000884
57400,69,W07000065
61187,53.1,E14000885
69257,70.9,E14000886
63371,64.4,E14000887
75661,69.2,E14000888
74929,66.7,E14000889
72120,65.9,E14000890
67127,62.5,E14000891
66573,66.1,E14000892
71604,69.8,E14000893
66249,77.3,S14000021
51554,60.3,W07000052
77789,67.2,E14000894
80563,66.3,E14000895
77751,76.2,E14000896
78952,58.1,E14000897
73758,65,E14000898
71467,58.3,E14000899
71306,65.2,E14000900
68157,71.8,E14000901
51836,67.2,S14000055
73229,64.4,E14000902
72847,64.2,E14000903
63563,59,E14000904
68914,68.9,E14000905
70873,70.8,E14000906
72566,66.4,E14000907
72955,73.6,E14000908
76408,61.5,S14000056
77185,71.5,E14000909
76035,71.5,E14000910
70058,75.4,E14000960
75284,62.7,E14000961
74985,59.4,E14000962
77975,59.1,E14000963
66944,68.6,E14000964
75483,55,E14000911
67430,71.9,E14000912
75470,65.3,E14000913
63089,58.7,E14000914
64728,62.1,E14000915
67511,71.8,E14000916
72804,71.1,E14000917
69591,71,E14000918
67740,57.4,E14000921
67554,61.4,E14000919
68798,74.3,E14000922
65571,62.3,E14000923
67068,61.7,E14000920
71443,68.5,E14000924
67689,73,E14000925
75446,70.3,E14000926
78930,65.7,E14000849
75855,64,E14000927
77381,70.7,E14000928
84806,70.2,E14000929
77473,61.6,E14000930
76288,72.3,E14000931
77306,75,E14000850
67881,75.4,E14000846
81548,74.3,E14000932
76243,65.8,E14000939
75822,67.9,E14000943
64084,57,E14000944
74532,59.6,E14000955
71931,61.4,E14000956
66918,65.2,E14000957
67200,65.1,E14000958
70479,67.1,E14000959
70667,71.1,E14000965
62137,70.5,E14000966
73849,68.3,E14000945
69081,59.2,E14000967
68937,64.8,E14000968
66080,70.9,S14000057
62879,62.2,E14000969
66752,59.2,E14000970
73840,68.1,E14000971
61003,53.2,E14000972
72054,55.8,E14000973
68032,58.6,E14000974
67062,70.4,E14000975
69637,67.8,E14000976
60539,53.7,N06000016
69517,72.7,E14000977
74532,62.8,E14000978
70991,63.3,E14000979
78286,74.1,E14000980
75786,70.5,E14000624
76572,71.7,E14000981
72498,70.9,E14000946
74374,64.7,E14001034
74485,57,E14000982
76855,71.1,E14000681
78107,69.6,E14000983
76501,74.8,E14000953
77199,72.4,E14000817
66658,72.8,E14000984
74489,67.9,E14000985
59823,54.6,W07000048
61334,58,W07000047
78384,64.2,E14000851
72619,64.9,E14000947
71962,64.5,E14000986
66746,67.8,E14000987
82507,70.5,E14000988
65061,63.5,E14000989
76655,70.4,E14000990
68602,63.2,E14000852
70045,65.6,E14000948
76416,49.9,E14000993
64092,75.2,E14000994
77758,58.9,E14000995
76808,71.5,E14000996
71790,71.5,E14000997
73840,68.6,E14000998
76244,64.5,E14000999
61183,61.5,W07000053
67962,70.4,E14001001
68834,59.1,E14001002
70598,69.1,E14001003
73855,68.1,E14001004
80569,74.1,E14001005
75680,69.6,E14001006
77690,59.7,E14000853
61148,61,N06000018
64594,63.2,N06000010
74732,55.4,N06000017
71160,63.3,E14001007
55781,63.7,W07000060
70211,69.3,W07000078
74811,57.7,E14001008
70812,62.8,E14001009
65915,63.2,E14001010
64034,56.5,E14001011
64387,63.5,E14001012
64625,63.4,E14001013
61782,61.9,E14001014
80456,70,E14001015
62751,61,E14001016
70473,62.7,E14001017
79182,69.3,E14001018
67800,72.3,E14001019
70138,67.4,E14000854
68910,54.2,E14001020
80798,68.3,E14001021
78532,65.1,E14001022
76537,71.8,E14001023
67269,65.4,E14001024
76846,67.2,E14001025
79432,70.3,E14001026
72058,68,E14001027
72586,58,E14001028
62668,60.6,E14001029
64859,55.8,E14001030
85313,55,E14001032
66739,59.3,E14001036
66988,76.9,E14001037
78487,67.2,E14001038
75407,58.5,E14001039
66315,73.4,E14000860
71647,68.4,E14000954
65723,72.1,E14001040
73805,75.8,E14001041
69511,71.3,E14001042
56099,71.1,E14001043
55050,71.5,E14001044
66969,69.9,E14001045
78766,73.3,E14001046
73837,71.5,E14001047
76386,71.4,E14001048
58931,59.2,E14001049
59884,58,E14001050
58845,68.2,E14001051
72835,67.2,E14001052
72145,70.6,E14000818
72807,74.3,E14001035
59607,65.9,E14001053
72473,57.5,E14001054
74001,65.4,E14000682
75945,64.7,E14001055
65544,70.1,E14000992
50872,64.8,W07000044
74175,64.9,E14001056
70201,73.1,E14001057
76713,66.3,E14001058
79923,51,E14001059
82314,69.4,E14001060
50075,68.8,W07000041
76439,60.8,E14001061
75939,70.2,E14001062
80105,64,E14000683
